ID,duplicated,pii_absent_high_confidence,pii_absent_low_confidence,full name,ssn,ssn last 4,drivers license #,passport #,TIN,irs identity protection pin,student identification #,bank account #,credit card #,cvv/cvc,password,username,email address,phone number
1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
8,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
19,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
22,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
27,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
28,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
30,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
34,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
35,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
42,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
43,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
44,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
47,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
48,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
49,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
51,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
